Instances,CCASat,clasp,lingeling,glucose,sinn
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/skvortsov/battleship/battleship-11-21-sat.cnf.gz,0.0191789,900,0.864008,4.76054,42.6882
Crafted/12/sc2012HardCombinatorial/satrace-unselected/repeat/prime2209/prime2209-96.cnf.gz,900,1.93982,9.95242,2.21368,1.32378
Crafted/12/SATCompetition2011/crafted/SAT09/CRAFTED/sgi/new-difficult-23-189-21-75.cnf.gz,12.5139,389.6,900,900,49.7946
Crafted/12/SATCompetition2011/crafted/SAT03/handmade/bevan/cnf/marg3x3add8.shuffled-as.sat03-1449.cnf.gz,900,0.251087,0.0298871,0.327359,0.238556
Crafted/12/SATCompetition2011/crafted/SAT03/handmade/stanion/hwb/hwb-n28-01-S136611085.shuffled-as.sat03-1627.cnf.gz,900,900,900,900,900
Crafted/12/Submissions/Combinatorial/puzzles/Hidoku_enu_7.cnf.gz,900,900,900,900,529.732
Crafted/12/SATChallenge2012_crafted_debugged/par32-1.debugged.cnf.gz,0.092774,0.0248341,0.167839,0.079525,0.047845
Crafted/12/SATCompetition2009/crafted/SAT09/CRAFTED/parity-games/instance_n3_i4_pp_ci_ce.cnf.gz,900,0.02292,0.083085,0.0421751,0.013609
Crafted/12/Submissions/Random/fixed-shape-forced-300-354-2-2-3-2/fsf-300-354-2-2-3-2.56.opt.cnf.gz,0.581119,900,900,900,900
Crafted/12/SATCompetition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf.gz,900,87.9303,636.157,378.171,429.011
Crafted/11/11/mosoi/289/289-unsat-6x40.cnf.gz,900,900,900,900,900
Crafted/11/09/sgi/satsgi-n26himBHm28-p0-q293.cnf.gz,0.0580139,0.0915729,0.142491,0.128451,0.0387861
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2011/crafted/SAT11/crafted/skvortsov/battleship/battleship-16-31-sat.cnf.gz,0.036674,900,719.486,360.561,187.153
Crafted/12/sc2012HardCombinatorial/satrace-unselected/repeat/prime2209/prime2209-92.cnf.gz,900,1.76106,9.23836,2.12343,1.26877
Crafted/12/SATChallenge2012_crafted_debugged/par32-4.debugged.cnf.gz,0.0806221,0.0312029,0.172104,0.076346,0.0226421
Crafted/12/sc2012HardCombinatorial/satcomp09-main-track-unselected/crafted/SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v945c61409gyes5.cnf.gz,180.858,900,900,900,900
Crafted/12/SATCompetition2007/crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-2.sat05-2249.reshuffled-07.cnf.gz,900,900,0.0602029,900,900
Crafted/11/11/anton/SRHD-SGI/srhd-sgi-m42-q663-n40-p30-s67876261.cnf.gz,900,900,900,900,900
Crafted/11/05/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-250-3.shuffled-as.sat05-2535.cnf.gz,900,334.207,900,900,900
Crafted/11/03/anton/UNSAT/SGI_30_70_20_70_1-dir.shuffled-as.sat03-146.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-210-2.sat05-2159.reshuffled-07.cnf.gz,900,16.0987,0.034321,66.4635,127.82
Crafted/11/11/mosoi/289/289-unsat-17x30.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2007/crafted/Difficult/contest05/QG/QG6-dead-dnd002.sat05-2713.reshuffled-07.cnf.gz,900,85.8675,14.1103,53.8682,19.4252
Crafted/12/sc2012HardCombinatorial/satcomp11-main-track-unselected/SAT11/crafted/skvortsov/battleship/battleship-4-6-unsat.cnf.gz,900,0.0125681,0.014406,0.023594,0.0086941
Crafted/11/09/rbsat/random/forced/rbsat-v2100c215164gyes7.cnf.gz,900,900,900,900,900
Crafted/09/CRAFTED/SAT09/CRAFTED/sgen/unsat/sgen1-unsat-103-100.cnf.gz,900,900,900,900,900
Crafted/09/CRAFTED/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2640c305320g2.cnf.gz,900,900,900,900,900
Crafted/12/SATChallenge2012_crafted_debugged/x1.1_72.shuffled-as.sat03-1586.cnf.mis-142.debugged.cnf.gz,900,900,900,900,900
Crafted/11/11/spence/sgen/sgen3-n130-s30940966-unsat.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2007/crafted/Difficult/contest05/sabharwal/grid-pebbling-sat-grid-pbl-0300.sat05-1341.sat05-1341.reshuffled-07.cnf.gz,22.8842,0.856052,15.4253,900,0.820876
Crafted/12/sc2012HardCombinatorial/satrace-unselected/repeat/prime2209/prime2209-85.cnf.gz,900,1.68479,7.51175,1.91962,1.13367
Crafted/12/sc2012HardCombinatorial/satcomp11-main-track-unselected/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-29_809.cnf.gz,900,900,900,900,900
Crafted/11/11/mosoi/289/289-sat-12x15.cnf.gz,0.0846221,0.550433,0.313013,0.440908,0.28783
Crafted/12/SATCompetition2009/crafted/SAT09/CRAFTED/sgen/sat/sgen1-sat-250-100.cnf.gz,900,900,900,900,900
Crafted/12/SATChallenge2012_crafted_debugged/x1_56.shuffled-as.sat03-1593.cnf.mis-109.debugged.cnf.gz,900,900,900,900,900
Crafted/12/SATChallenge2012_crafted_debugged/sgen1-unsat-103-100.cnf.mis-78.debugged.cnf.gz,900,900,900,900,900
Crafted/12/SATCompetition2011/crafted/SAT03/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf.gz,0.882807,900,900,46.9078,111.527
Crafted/12/sc2012HardCombinatorial/satcomp11-main-track-unselected/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-20_388.cnf.gz,24.836,170.737,235.434,218.786,509.211
Crafted/12/SATCompetition2011/crafted/SAT05/crafted/sorge05/QG7/iso-ukn004.shuffled-as.sat05-3385.cnf.gz,0.268174,0.096974,0.172256,0.0882789,0.044833
Crafted/12/SATCompetition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-250-3.sat05-2220.reshuffled-07.cnf.gz,900,318.831,0.049446,900,900
Crafted/12/SATCompetition2011/application/SAT04/industrial/vangelder/cnf-color/abb313GPIA-9-tr.used-as.sat04-321.cnf.gz,1.70694,72.7674,2.58087,3.46273,1.90532
Crafted/09/CRAFTED/SAT07/crafted/Hard/contest03/looksrandom/hgen8-n320-01-S1432474240.sat05-483.reshuffled-07.cnf.gz,900,900,900,900,900
Crafted/11/09/rbsat/random/forced/rbsat-v2400c266431gyes7.cnf.gz,900,900,900,900,900
Crafted/12/sc2012HardCombinatorial/satrace-unselected/er/mutcb14.cnf.gz,900,363.055,63.564,122.592,58.2354
Crafted/11/11/mosoi/289/289-sat-6x9.cnf.gz,0.0198539,0.025521,0.090095,0.053331,0.0197201
Crafted/12/SATCompetition2009/crafted/SAT09/CRAFTED/ramseycube/Q32inK09.cnf.gz,900,15.5549,25.0014,19.4325,175.35
Crafted/11/03/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf.gz,900,900,900,900,900
