features,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53
Industrial/12/SATCompetition2009/application/SAT09/APPLICATIONS/diagnosis/UR-15-10p0.cnf.gz,199290,1005792,101800,654137,0.957662083,0.537586163,5.34,0.155624892,0.410904374,0.927283335,0,1,1.431707628,2.7262E-05,0.447862841,1.9646E-05,9.8232E-05,1.084335794,0,0.561946504,0.859911609,0.12,2.7262E-05,0.712012622,1.0701E-05,0.000105482,2.948151025,0.228900875,0.147607818,0,0.789473684,2.884125492,1.5466E-05,0.844548128,4.586E-06,7.185E-05,2.631910148,0.712000697,2.9952E-05,0.636545992,7.644E-06,0.000113126,32.84,-1,0,-1,0,-512,-1,0,-1,0,0,20.05
Industrial/09/APPLICATION/SAT07/industrial/jarvisalo/eq.atree.braun.8.unsat.cnf.gz,684,2300,464,1915,0.474137931,0.201044386,0,0.24229765,0.346219219,0.839113765,0,1,1.169087899,0.006458765,0.368696209,0.004310345,0.036637931,0.929138745,0,0.204699739,0.87154047,0,0.006458765,0.26588097,0.003655352,0.012010444,2.430308751,0.079340527,0.091759815,0,0.5,2.073806036,0.002776402,0.499793051,0.001044386,0.008355091,1.982503516,0.488772846,0.004519672,0.477967282,0.002610966,0.012010444,0,0.008429262,0.357965727,0.002610966,0.036553525,2.83239946,0.280453664,0.32142477,0.034722222,0.566176471,3.460728674,0.03
Industrial/12/satrace2008/marijn-philips.cnf.gz,3641,4456,752,3367,3.841755319,0.323433323,0.02,0.223344223,0.415732161,0.729680337,0,1,1.306239778,0.004127988,0.382315295,0.002659574,0.030585106,1.015355394,0,0.185625186,0.767448767,0,0.004127988,0.404814113,0.002079002,0.013959014,2.388058578,0.067984891,0.089786082,0,0.5,1.837910429,0.001936031,0.931286221,0.000594001,0.012177012,2.044165034,0.504603505,0.002488957,0.635384529,0.001485001,0.01039501,0,0.005999812,0.466325396,0.001782002,0.028512029,3.115591966,0.285243445,0.460096525,0.02150056,0.575,3.541488427,0.08
Industrial/12/SC2012_Application_Debugged/satrace-unselected/ibm/2004/2_31_2/IBM_FV_2004_rule_batch_2_31_2_SAT_dat.k45.debugged.cnf.gz,59794,247992,19256,123361,2.105213959,1.010294988,1.01,0.156094714,0.326877904,1.110342804,0,1,1.827554427,0.000172754,0.588450344,0.000103864,0.000623182,1.518967847,0,0.547166446,0.697303037,0.02,0.000172754,0.970503651,5.6744E-05,0.001888765,3.452700999,0.176645179,0.13693554,0,0.851851852,3.304769292,8.5457E-05,0.875239312,8.106E-06,0.000907904,2.896624315,0.641799272,0.000194037,0.782477793,3.2425E-05,0.001759065,1.21,-1,0,-1,0,-512,-1,0,-1,0,0,20.02
Industrial/12/SATCompetition2007/industrial/palacios/hard/sortnet-6-ipc5-h11-unsat.cnf.gz,27724,95880,4272,46272,5.489700375,1.072095436,0.61,0.092323651,0.312900682,1.015437724,0,1,1.86836743,0.000909467,0.837680719,0.000468165,0.007256554,1.786533352,0,0.464449343,0.633450035,0.01,0.000909467,2.066850418,0.000151279,0.017094571,3.976944034,0.219399671,0.214868291,0,0.882352941,3.768028128,0.000603651,2.838765298,6.4834E-05,0.016662344,3.385785307,0.686808437,0.001072291,1.311968655,0.000194502,0.012512967,0.07,-1,0,-1,0,-512,-1,0,-1,0,0,20.01
Industrial/11/11/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-rovers-18-step12.cnf.gz,32523,308440,29044,295916,0.119783776,0.042322821,1.38,0.098149475,0.47838597,1.013724411,0,1,1.058129678,8.4713E-05,1.195845915,6.8861E-05,0.006163063,0.403660723,0,0.928489842,0.950573811,0.05,8.4713E-05,1.275959783,1.6897E-05,0.001551116,3.113505934,0.384719297,0.32068096,0,1,3.256838315,6.3959E-05,1.570134508,6.759E-06,0.001405804,2.91247311,0.92870274,0.000252964,0.98299324,1.6897E-05,0.001551116,2.72,-1,0,-1,0,-512,-1,0,-1,0,0,20.04
Industrial/12/SATCompetition2009/application/SAT09/APPLICATIONS/diagnosis/UR-20-5p0.cnf.gz,224569,1190619,120834,822458,0.858491815,0.447635016,6.25,0.146918141,0.402619262,0.912712362,0,1,1.414859907,2.3206E-05,0.439363338,1.6552E-05,8.2758E-05,1.093418864,0,0.523635249,0.866096506,0.14,2.3206E-05,0.740775109,8.511E-06,8.2679E-05,3.003961316,0.225579797,0.147961172,0,0.833333333,2.856107414,1.2965E-05,0.849176697,3.648E-06,5.593E-05,2.692282098,0.696593625,2.5392E-05,0.655459541,6.079E-06,9.119E-05,46.28,-1,0,-1,0,-512,-1,0,-1,0,0,20.07
Industrial/12/SATCompetition2011/application/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf.gz,88352,262658,23820,135563,2.709151973,0.937534578,1.5,0.175711662,0.456017642,0.758248031,0,1,1.70477701,0.000142424,0.368747663,8.3963E-05,0.001763224,1.490727025,0,0.235853441,0.634538923,0.03,0.000142424,1.193016128,5.1637E-05,0.002124473,3.125283771,0.126784427,0.119242967,0,0.814814815,2.895982093,5.4432E-05,1.27825547,7.377E-06,0.000730288,2.641113856,0.467642351,0.000138465,1.017164434,3.6883E-05,0.001549095,1.82,-1,0,-1,0,-512,-1,0,-1,0,0,20.02
Industrial/12/SATCompetition2009/application/SAT09/APPLICATIONS/bioinfo/q_query_3_l40_lambda.cnf.gz,28488,140544,6605,56816,3.313096139,1.473669389,0.64,0.116252464,0.49556544,0.665824204,0,1,1.431883267,0.000509812,0.38279965,0.000302801,0.001514005,1.321330478,0,0.194082653,0.753484934,0.01,0.000509812,1.388511971,1.7601E-05,0.004382568,3.096775899,0.3572969,0.163271272,0,1,3.177289461,0.000230631,1.130750059,0,0.004188961,2.835022052,0.554702901,0.00049438,1.808327889,3.5201E-05,0.012408476,0.15,-1,0,-1,0,-512,-1,0,-1,0,0,20.01
Industrial/09/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf.gz,217930,1002997,105677,590731,1.062227353,0.697891257,5.29,0.178891915,0.391000565,0.994631332,0,1,1.38414352,2.5916E-05,0.487649557,1.8926E-05,9.4628E-05,1.027367804,0,0.607122362,0.870817682,0.09,2.5916E-05,0.486560772,1.185E-05,6.2634E-05,2.565139587,0.265172193,0.16240319,0,0.789473684,2.892483791,1.5305E-05,0.487518239,5.078E-06,4.0628E-05,2.304668211,0.741447461,2.8057E-05,0.477202798,6.771E-06,6.7713E-05,35.37,3.6804E-05,0.599414149,5.078E-06,0.000147275,3.457933819,0.153180851,0.626276337,0.024555904,0.607142857,3.15827928,18.46
