Instances,smodels/default-n1,claspInternal/crafted-n1,cmodels/default-n1
ASPExtended/TowersOfHanoiCompetition/mgs_towers-hanoi.21_53_6.lp.gz,4.58174,1.41777,0.595908
ASPExtended/planning/comm/p05.lp-30-2175.sm.gz,900,900,65.318
ASPExtended/ASP-Comp-2009-Lparse/CompHamiltonianPath/gryzzles.23.lp.gz,13.153,0.035246,0.22863
ASPExtended/ggp/firefighter.gdlclingo.pl.gr.gz,0.025121,0.019603,0.0746721
ASPExtended/ASP-Comp-2009-Lparse/CompSolitaire/solitaire-center-time=31.gz,900,900,900
ASPExtended/SchurNumbers/15.4.schur.sm.gz,900,43.2912,774.443
ASPExtended/HamiltonianPath/gryzzles.1.lp.gz,2.25469,0.019654,0.0695831
ASPExtended/SchurCompetition/20.5.schur.lp.gz,900,0.468888,1.27387
ASPExtended/planning/dispose/p02_10.lp-18-4919.sm.gz,900,4.73526,15.2102
ASPExtended/SocialGolfer/csp010-SocialGolfer_w5_g2_s5.dlv.dat.lp.lp.gz,0.016928,0.014174,0.052392
ASPExtended/laby/laby_15_15_14.lp.gz,900,10.8625,19.5676
ASPExtended/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/altair1.10.asp.gz,0.16598,0.0965871,4.46828
ASPExtended/ggp/duplicatestatesmall.gdlclingo.pl.gr.gz,0.0110931,0.0111101,0.0137239
ASPExtended/laby/laby_11_11_03.lp.gz,900,152.902,183.22
ASPExtended/laby/laby_17_17_15.lp.gz,900,900,578.168
ASPExtended/ASP-Comp-2009-Lparse/CompMazeGeneration/maze-generation-width=10-height=10-density=0.01-run=3.gz,12.598,0.017191,0.0223629
ASPExtended/SchurNumbers/15.14.schur.sm.gz,900,94.9084,900
ASPExtended/ASP-Comp-2009-Lparse/CompKnightTour/knightTour.in6.gz,4.49044,0.226967,3.91293
ASPExtended/WeightedSpanningTree/205_rand_32_140_1344634881_0.gph.lp.gz,16.5541,0.344799,1.42031
ASPExtended/HamiltonianCycle/rand_150_1200_1154711577_9.gph.lp.gz,900,0.0611119,0.856064
ASPExtended/RicochetRobots/robo25.lp.gz,122.725,405.764,21.5864
ASPExtended/planning/comm/p04.lp-23-113.sm.gz,900,137.904,3.66844
ASPExtended/HamiltonianPath/gryzzles.33.lp.gz,0.0737201,0.0224161,0.0681941
ASPExtended/planning/coins/coins08.lp-23-848.sm.gz,900,179.617,136.273
ASPExtended/laby/laby_13_13_06.lp.gz,900,27.8543,179.738
ASPExtended/HamiltonianPath/gryzzles.29.lp.gz,0.0588059,0.0213591,0.0633051
ASPExtended/ASP-Comp-2009-Lparse/CompSolitaire/solitaire-edge-time=27.gz,900,0.522694,0.6517
ASPExtended/planning/dispose/p03_06.lp-18-6661.sm.gz,900,900,256.181
ASPExtended/ASP-Comp-2009-Lparse/CompSchurNumbers/20.13.schur.lp.gz,900,0.33443,0.501652
ASPExtended/planning/dispose/p03_07.lp-18-20100.sm.gz,900,900,444.46
ASPExtended/ASP-Comp-2009-Lparse/CompLabyrinth/laby_17_17_07.lp.gz,547.573,2.88722,29.7089
ASPExtended/ASP-Comp-2009-Lparse/CompHierarchicalClustering/xy.10.x.10.r.2.565627391.127944.data_k=4_l=6_unsat.gph.gz,1.01565,0.0372679,0.162633
ASPExtended/SocialGolfer/csp010-SocialGolfer_w3_g5_s4.dlv.dat.lp.lp.gz,0.289482,0.034148,0.144313
ASPExtended/SocialGolfer/csp010-SocialGolfer_w5_g5_s4.dlv.dat.lp.lp.gz,900,0.0655509,0.469974
ASPExtended/planning/coins/coins07.lp-18-458.sm.gz,900,77.1079,26.2995
ASPExtended/SocialGolfer/csp010-SocialGolfer_w7_g3_s5.dlv.dat.lp.lp.gz,145.734,0.0837389,5.32281
ASPExtended/laby/laby_15_15_17.lp.gz,20.4638,9.92738,10.3412
ASPExtended/planning/comm/p12.lp-37-6106.sm.gz,900,900,900
ASPExtended/ggp/twisty-passages.gdlclingo.pl.gr.gz,0.527626,0.335589,16.0898
ASPExtended/SocialGolfer/csp010-SocialGolfer_w4_g5_s5.dlv.dat.lp.lp.gz,0.970238,0.096116,0.429175
ASPExtended/ggp/troublemaker01.gdlclingo.pl.gr.gz,0.0895091,0.0174521,0.0582631
ASPExtended/gridpuzzle/nurikabe-8.lp.lp.gz,900,143.111,900
ASPExtended/gridpuzzle/heyawake-2.lp.lp.gz,1.06619,0.49746,2.22183
ASPExtended/SocialGolfer/csp010-SocialGolfer_w7_g4_s3.dlv.dat.lp.lp.gz,900,900,900
ASPExtended/ASP-Comp-2009-Lparse/CompSolitaire/solitaire-edge-time=26.gz,900,0.369677,0.683757
ASPExtended/laby/laby_10_10_05.lp.gz,120.655,32.1065,12.0491
ASPExtended/hardwareASP/hard_inst_6_9_32144.gr.gz,900,900,14.7618
ASPExtended/ASP-Comp-2007-Lparse/SLparse/RLP-200/lp.200.01100.8.gz,70.1582,0.916473,0.654786
ASPExtended/planning/comm/p17.lp-46-522.sm.gz,900,494.354,900
ASPExtended/ASP-Comp-2011-Lparse/12-KnightTour/10-knight_tour-50-0.asp.gz,900,900,900
ASPExtended/planning/dispose/p03_05.lp-18-17456.sm.gz,900,900,126.327
ASPExtended/ASP-Comp-2009-Lparse/CompBlockedNQueens/156.48.1960.36.1721345259.dat.gz,3.2932,0.697699,12.97
ASPExtended/planning/dispose/p03_04.lp-17-3896.sm.gz,900,900,90.8983
ASPExtended/searchTest-verbose/stv_sequence4-ss1.lp.gz,5.83523,4.01422,10.2462
ASPExtended/SolitaireForward/solitare_forward_t49.lp.lp.gz,900,900,900
ASPExtended/SocialGolfer/csp010-SocialGolfer_w2_g4_s2.dlv.dat.lp.lp.gz,0.019576,0.0118519,0.0261589
ASPExtended/graph_colouring/graph-colouring-nodes=135-density=0.1-instance=2.sm.gz,900,49.9592,3.72735
ASPExtended/HamiltonianPath/gryzzles.34.lp.gz,18.8235,0.0364369,0.164227
ASPExtended/planning/dispose/p05_01.lp-15-445.sm.gz,900,62.746,50.7956
ASPExtended/laby/laby_10_10_17.lp.gz,0.886648,0.27303,2.08036
ASPExtended/RicochetRobots/rr01-06.sm.gz,900,111.776,22.3546
ASPExtended/RicochetRobots/robo22.lp.gz,900,64.4111,21.451
ASPExtended/Sokoban-Hard/handmade_soko008.lp-29-1306.sm.gz,900,207.164,900
ASPExtended/ASP-Comp-2009-Lparse/CompGraphPartitioning/rand_15_75_1235849326_0_k=3_v=7_e=20_unsat.gph.gz,18.5606,12.4449,27.4746
ASPExtended/SolitaireBackward/solitare_backward_t9_p10.lp.lp.gz,900,0.076971,0.44373
ASPExtended/laby/laby_16_16_12.lp.gz,900,190.452,137.735
ASPExtended/hardwareASP/hard_inst_5_5_10300.gr.gz,900,5.40102,2.94592
ASPExtended/Synthesis/mutex3AsyncNondet.sm.gz,900,1.28873,16.0728
ASPExtended/hardwareASP/hard_inst_10_8_4281.gr.gz,900,900,97.1477
ASPExtended/RicochetRobots/robo38.lp.gz,98.7922,656.743,15.011
ASPExtended/HamiltonClumpy/08/clumpy-08x08_09.sm.gz,0.0309391,0.014767,0.0428399
ASPExtended/graph_colouring/graph-colouring-nodes=135-density=0.1-instance=10.sm.gz,900,900,812.454
