,Instances,CCASat,clasp,lingeling,glucose,sinn,Ave
6,par32-1.debugged.cnf.gz,0.092774,0.024834099999999998,0.16783900000000002,0.079525,0.047845,0.08256342000000001
11,satsgi-n26himBHm28-p0-q293.cnf.gz,0.0580139,0.0915729,0.142491,0.128451,0.0387861,0.09186298000000001
15,par32-4.debugged.cnf.gz,0.0806221,0.0312029,0.172104,0.076346,0.0226421,0.07658342
33,289-sat-12x15.cnf.gz,0.0846221,0.550433,0.313013,0.44090799999999997,0.28783000000000003,0.33536121999999996
39,iso-ukn004.shuffled-as.sat05-3385.cnf.gz,0.26817399999999997,0.096974,0.172256,0.0882789,0.044833,0.13410318
41,abb313GPIA-9-tr.used-as.sat04-321.cnf.gz,1.7069400000000001,72.7674,2.58087,3.46273,1.9053200000000001,16.484652
45,289-sat-6x9.cnf.gz,0.0198539,0.025521000000000002,0.09009500000000001,0.053330999999999996,0.0197201,0.0417042
49,VanDerWaerden_pd_2-3-20_379.cnf.gz,8.93778,50.7206,76.4759,14.828,22.7576,34.743975999999996
50,289-sat-6x8.cnf.gz,0.018437099999999998,0.026993,0.0889791,0.047428,0.017091099999999998,0.03978566
51,sat-grid-pbl-0070.sat05-1334.reshuffled-07.cnf.gz,0.224886,0.04029509999999999,0.20833400000000002,7.47248,0.032707,1.59574042
63,instance_n3_i3_pp_ci_ce.cnf.gz,0.0474879,0.025600099999999997,0.0843,0.041093,0.0127309,0.042242379999999996
67,sat-pbl-00400.sat05-1322.reshuffled-07.cnf.gz,1.00194,1.73743,4.56538,2.87107,2.95463,2.62609
71,289-sat-11x4.cnf.gz,0.0382269,0.016497099999999997,0.031407,0.0339519,0.014750999999999998,0.026966779999999996
79,lksat-n900-m3357-k3-l5-s950595579.used-as.sat04-938.cnf.gz,0.0646101,0.796271,36.7546,3.56454,5.60497,9.356998220000001
90,satsgi-n23himBHm27-p0-q266.cnf.gz,0.0318101,0.043747900000000006,0.115075,0.07654,0.0250149,0.05843758
113,rbsat-v760c43649gyes3.cnf.gz,4.5298099999999994,5.42676,37.6543,18.6282,21.8397,17.615754
128,289-sat-14x8.cnf.gz,0.041726,0.13606,0.108438,0.165936,0.100135,0.110459
129,QG7a-gensys-brn100.sat05-3765.reshuffled-07.cnf.gz,0.585913,1.01599,2.29698,12.4339,1.27783,3.5221226000000003
143,par32-2.debugged.cnf.gz,0.081108,0.030031,0.161388,0.07167899999999999,0.025293,0.0738998
152,satsgi-n22himBHm24-p0-q195.cnf.gz,0.0464539,0.036067,0.101194,0.204282,0.018690099999999998,0.08133739999999999
