Instance,Option,Time,Memory,ConflictsPerSecond,DecisionsPerSecond,PropagationsPerSecond,Sat
289-sat-11x10.cnf,DPLL,99.9867,9.00,65,66,1022,INDETERMINATE
289-sat-11x10.cnf,CL,99.8767,11.00,169,234,3598,INDETERMINATE
289-sat-11x10.cnf,RST,0.489999,8.00,822,1547,16253,SATISFIABLE
289-sat-11x10.cnf,2WL,99.98,9.00,63,64,994,INDETERMINATE
289-sat-11x10.cnf,VSIDS,99.93,9.00,66,67,1052,INDETERMINATE
289-sat-11x10.cnf,NOTCL,0.186666,8.00,1746,3343,28098,SATISFIABLE
289-sat-11x10.cnf,NOTRST,98.62,13.00,1772,2143,42497,INDETERMINATE
289-sat-11x10.cnf,NOT2WL,0.929999,8.00,962,1968,19300,SATISFIABLE
289-sat-11x10.cnf,NOTVSIDS,0.136666,8.00,3410,8927,66813,SATISFIABLE
289-sat-11x10.cnf,CDCL,0.233333,8.00,3836,7843,76924,SATISFIABLE
289-sat-11x4.cnf,DPLL,0.033333,7.00,0,2340,5280,SATISFIABLE
289-sat-11x4.cnf,CL,0.029999,7.00,0,2600,5867,SATISFIABLE
289-sat-11x4.cnf,RST,0.029999,7.00,0,2600,5867,SATISFIABLE
289-sat-11x4.cnf,2WL,0.023333,7.00,0,3343,7543,SATISFIABLE
289-sat-11x4.cnf,VSIDS,0.033333,7.00,0,2340,5280,SATISFIABLE
289-sat-11x4.cnf,NOTCL,0.029999,7.00,0,2600,5867,SATISFIABLE
289-sat-11x4.cnf,NOTRST,0.036666,7.00,0,2127,4800,SATISFIABLE
289-sat-11x4.cnf,NOT2WL,0.039999,7.00,0,1950,4400,SATISFIABLE
289-sat-11x4.cnf,NOTVSIDS,0.033333,7.00,0,2340,5280,SATISFIABLE
289-sat-11x4.cnf,CDCL,0.033333,7.00,0,2340,5280,SATISFIABLE
289-sat-11x9.cnf,DPLL,99.93,9.00,65,65,919,INDETERMINATE
289-sat-11x9.cnf,CL,99.8567,10.00,220,295,5110,INDETERMINATE
289-sat-11x9.cnf,RST,1.91667,8.00,1193,1654,16389,SATISFIABLE
289-sat-11x9.cnf,2WL,99.97,8.00,64,65,911,INDETERMINATE
289-sat-11x9.cnf,VSIDS,99.8533,9.00,69,69,1034,INDETERMINATE
289-sat-11x9.cnf,NOTCL,0.236666,8.00,2020,3490,29852,SATISFIABLE
289-sat-11x9.cnf,NOTRST,98.64,11.00,1719,2032,43174,INDETERMINATE
289-sat-11x9.cnf,NOT2WL,0.529999,8.00,1213,2711,21394,SATISFIABLE
289-sat-11x9.cnf,NOTVSIDS,0.709999,8.00,4104,7632,96427,SATISFIABLE
289-sat-11x9.cnf,CDCL,0.159999,8.00,4019,8981,70869,SATISFIABLE
289-sat-12x14.cnf,DPLL,99.89,10.00,63,64,1500,INDETERMINATE
289-sat-12x14.cnf,CL,99.9433,11.00,130,233,2756,INDETERMINATE
289-sat-12x14.cnf,RST,2.49667,9.00,654,1123,12921,SATISFIABLE
289-sat-12x14.cnf,2WL,99.9567,9.00,43,44,1018,INDETERMINATE
289-sat-12x14.cnf,VSIDS,99.8833,9.00,67,68,1695,INDETERMINATE
289-sat-12x14.cnf,NOTCL,1.24667,8.00,1208,2022,24594,SATISFIABLE
289-sat-12x14.cnf,NOTRST,98.89,20.00,1402,1664,27461,INDETERMINATE
289-sat-12x14.cnf,NOT2WL,1.26,9.00,654,1598,15802,SATISFIABLE
289-sat-12x14.cnf,NOTVSIDS,99.0667,18.00,1193,1549,42410,INDETERMINATE
289-sat-12x14.cnf,CDCL,0.346666,8.00,2377,5807,57436,SATISFIABLE
289-sat-12x15.cnf,DPLL,99.9433,9.00,61,62,1561,INDETERMINATE
289-sat-12x15.cnf,CL,99.9033,11.00,128,237,2953,INDETERMINATE
289-sat-12x15.cnf,RST,35.3133,9.00,458,583,6693,SATISFIABLE
289-sat-12x15.cnf,2WL,99.8767,9.00,62,63,1604,INDETERMINATE
289-sat-12x15.cnf,VSIDS,99.9867,9.00,68,69,1848,INDETERMINATE
289-sat-12x15.cnf,NOTCL,1.44,8.00,1174,2052,25175,SATISFIABLE
289-sat-12x15.cnf,NOTRST,98.9067,24.00,1364,1633,25976,INDETERMINATE
289-sat-12x15.cnf,NOT2WL,1.32333,9.00,464,1566,13379,SATISFIABLE
289-sat-12x15.cnf,NOTVSIDS,0.646666,8.00,3118,11887,95494,SATISFIABLE
289-sat-12x15.cnf,CDCL,0.366666,8.00,1675,5651,48286,SATISFIABLE
289-sat-14x8.cnf,DPLL,99.9167,9.00,65,65,810,INDETERMINATE
289-sat-14x8.cnf,CL,99.93,11.00,169,233,4024,INDETERMINATE
289-sat-14x8.cnf,RST,0.309999,8.00,865,1910,13813,SATISFIABLE
289-sat-14x8.cnf,2WL,99.9733,9.00,67,68,843,INDETERMINATE
289-sat-14x8.cnf,VSIDS,100.017,9.00,66,66,942,INDETERMINATE
289-sat-14x8.cnf,NOTCL,0.149999,8.00,1853,3880,28974,SATISFIABLE
289-sat-14x8.cnf,NOTRST,98.69,12.00,1605,1846,40100,INDETERMINATE
289-sat-14x8.cnf,NOT2WL,0.439999,8.00,1305,2855,21500,SATISFIABLE
289-sat-14x8.cnf,NOTVSIDS,51.3567,9.00,2008,2862,37971,SATISFIABLE
289-sat-14x8.cnf,CDCL,0.146666,8.00,3914,8564,64500,SATISFIABLE
289-sat-4x35.cnf,DPLL,0.163333,8.00,0,1359,3429,SATISFIABLE
289-sat-4x35.cnf,CL,0.159999,8.00,0,1388,3500,SATISFIABLE
289-sat-4x35.cnf,RST,0.183333,8.00,0,1211,3055,SATISFIABLE
289-sat-4x35.cnf,2WL,0.099999,8.00,0,2220,5600,SATISFIABLE
289-sat-4x35.cnf,VSIDS,0.169999,8.00,0,1306,3294,SATISFIABLE
289-sat-4x35.cnf,NOTCL,0.109999,8.00,0,2018,5091,SATISFIABLE
289-sat-4x35.cnf,NOTRST,0.099999,8.00,0,2220,5600,SATISFIABLE
289-sat-4x35.cnf,NOT2WL,0.183333,8.00,0,1211,3055,SATISFIABLE
289-sat-4x35.cnf,NOTVSIDS,0.106666,8.00,0,2081,5250,SATISFIABLE
289-sat-4x35.cnf,CDCL,0.109999,8.00,0,2018,5091,SATISFIABLE
289-sat-4x8.cnf,DPLL,0.019999,7.00,0,3000,6400,SATISFIABLE
289-sat-4x8.cnf,CL,0.023333,7.00,0,2571,5486,SATISFIABLE
289-sat-4x8.cnf,RST,0.026666,7.00,0,2250,4800,SATISFIABLE
289-sat-4x8.cnf,2WL,0.026666,7.00,0,2250,4800,SATISFIABLE
289-sat-4x8.cnf,VSIDS,0.033333,7.00,0,1800,3840,SATISFIABLE
289-sat-4x8.cnf,NOTCL,0.026666,7.00,0,2250,4800,SATISFIABLE
289-sat-4x8.cnf,NOTRST,0.023333,7.00,0,2571,5486,SATISFIABLE
289-sat-4x8.cnf,NOT2WL,0.033333,7.00,0,1800,3840,SATISFIABLE
289-sat-4x8.cnf,NOTVSIDS,0.023333,7.00,0,2571,5486,SATISFIABLE
289-sat-4x8.cnf,CDCL,0.019999,7.00,0,3000,6400,SATISFIABLE
289-sat-5x8.cnf,DPLL,0.223333,8.00,1249,1581,15649,SATISFIABLE
289-sat-5x8.cnf,CL,0.046666,7.00,2871,5079,43051,SATISFIABLE
289-sat-5x8.cnf,RST,0.073333,7.00,1377,3150,22118,SATISFIABLE
289-sat-5x8.cnf,2WL,0.189999,7.00,1468,1858,18395,SATISFIABLE
289-sat-5x8.cnf,VSIDS,0.169999,7.00,1294,1712,17512,SATISFIABLE
289-sat-5x8.cnf,NOTCL,0.053333,7.00,1894,4200,30506,SATISFIABLE
289-sat-5x8.cnf,NOTRST,0.036666,7.00,3436,6355,52010,SATISFIABLE
289-sat-5x8.cnf,NOT2WL,0.049999,7.00,2040,4980,33001,SATISFIABLE
289-sat-5x8.cnf,NOTVSIDS,0.033333,7.00,3030,7590,51001,SATISFIABLE
289-sat-5x8.cnf,CDCL,0.039999,7.00,2550,6225,41251,SATISFIABLE
289-sat-6x19.cnf,DPLL,99.9833,9.00,63,65,2147,INDETERMINATE
289-sat-6x19.cnf,CL,99.9733,10.00,139,235,4025,INDETERMINATE
289-sat-6x19.cnf,RST,0.579999,8.00,698,1547,17974,SATISFIABLE
289-sat-6x19.cnf,2WL,99.92,9.00,63,64,2130,INDETERMINATE
289-sat-6x19.cnf,VSIDS,99.9633,9.00,64,66,2329,INDETERMINATE
289-sat-6x19.cnf,NOTCL,0.186666,8.00,1200,3214,40098,SATISFIABLE
289-sat-6x19.cnf,NOTRST,98.5867,15.00,1312,1560,28076,INDETERMINATE
289-sat-6x19.cnf,NOT2WL,0.489999,8.00,847,2282,23547,SATISFIABLE
289-sat-6x19.cnf,NOTVSIDS,0.119999,8.00,2217,6600,65909,SATISFIABLE
289-sat-6x19.cnf,CDCL,0.136666,8.00,3037,8181,84425,SATISFIABLE
289-sat-6x20.cnf,DPLL,99.97,9.00,63,64,2161,INDETERMINATE
289-sat-6x20.cnf,CL,104.603,11.00,131,249,3949,INDETERMINATE
289-sat-6x20.cnf,RST,0.673333,8.00,656,1357,17502,SATISFIABLE
289-sat-6x20.cnf,2WL,99.95,9.00,63,64,2150,INDETERMINATE
289-sat-6x20.cnf,VSIDS,99.97,8.00,63,64,2453,INDETERMINATE
289-sat-6x20.cnf,NOTCL,0.283333,8.00,1415,3201,40264,SATISFIABLE
289-sat-6x20.cnf,NOTRST,98.48,15.00,1730,2081,42178,INDETERMINATE
289-sat-6x20.cnf,NOT2WL,0.496666,8.00,610,1705,19115,SATISFIABLE
289-sat-6x20.cnf,NOTVSIDS,0.173333,8.00,2602,6531,80614,SATISFIABLE
289-sat-6x20.cnf,CDCL,0.136666,8.00,2217,6198,69469,SATISFIABLE
289-sat-6x8.cnf,DPLL,100.05,8.00,64,65,807,INDETERMINATE
289-sat-6x8.cnf,CL,0.766666,8.00,1436,2190,24220,SATISFIABLE
289-sat-6x8.cnf,RST,0.066666,8.00,1500,3720,23490,SATISFIABLE
289-sat-6x8.cnf,2WL,99.96,8.00,65,65,815,INDETERMINATE
