Instance,Option,Time,Memory,ConflictsPerSecond,DecisionsPerSecond,PropagationsPerSecond,Sat
289-sat-11x10.cnf,DPLL,99.9798,14.00,299,300,4713,INDETERMINATE
289-sat-11x10.cnf,CL,99.9359,28.00,3869,4685,108721,INDETERMINATE
289-sat-11x10.cnf,RST,0.008533,11.00,47228,88832,933318,SATISFIABLE
289-sat-11x10.cnf,2WL,100.003,14.00,358,359,5719,INDETERMINATE
289-sat-11x10.cnf,VSIDS,100.043,13.00,279,279,4443,INDETERMINATE
289-sat-11x10.cnf,NOTCL,0.017988,11.00,18123,34690,291583,SATISFIABLE
289-sat-11x10.cnf,NOTRST,99.9243,42.00,23055,27041,566740,INDETERMINATE
289-sat-11x10.cnf,NOT2WL,0.008911,11.00,100438,205364,2014252,SATISFIABLE
289-sat-11x10.cnf,NOTVSIDS,0.004662,11.00,99957,261690,1958601,SATISFIABLE
289-sat-11x10.cnf,CDCL,0.012939,11.00,69171,141433,1387201,SATISFIABLE
289-sat-11x4.cnf,DPLL,0.002346,10.00,0,33248,75021,SATISFIABLE
289-sat-11x4.cnf,CL,0.002326,10.00,0,33534,75666,SATISFIABLE
289-sat-11x4.cnf,RST,0.002395,10.00,0,32568,73486,SATISFIABLE
289-sat-11x4.cnf,2WL,0.002328,10.00,0,33505,75601,SATISFIABLE
289-sat-11x4.cnf,VSIDS,0,10.00,,,,SATISFIABLE
289-sat-11x4.cnf,NOTCL,0,10.00,,,,SATISFIABLE
289-sat-11x4.cnf,NOTRST,0,10.00,,,,SATISFIABLE
289-sat-11x4.cnf,NOT2WL,0.003135,10.00,0,24880,56140,SATISFIABLE
289-sat-11x4.cnf,NOTVSIDS,0,10.00,,,,SATISFIABLE
289-sat-11x4.cnf,CDCL,0.00278,10.00,0,28058,63309,SATISFIABLE
289-sat-11x9.cnf,DPLL,100.004,14.00,373,374,5466,INDETERMINATE
289-sat-11x9.cnf,CL,99.9412,31.00,7504,8832,217326,INDETERMINATE
289-sat-11x9.cnf,RST,0.047111,11.00,48524,67288,666766,SATISFIABLE
289-sat-11x9.cnf,2WL,99.93,14.00,405,406,5971,INDETERMINATE
289-sat-11x9.cnf,VSIDS,99.987,14.00,372,372,5885,INDETERMINATE
289-sat-11x9.cnf,NOTCL,0.017118,11.00,27924,48253,412723,SATISFIABLE
289-sat-11x9.cnf,NOTRST,99.9009,49.00,40020,46705,1087727,INDETERMINATE
289-sat-11x9.cnf,NOT2WL,0.00331,11.00,194260,434139,3425680,SATISFIABLE
289-sat-11x9.cnf,NOTVSIDS,0.014741,11.00,197680,367614,4644393,SATISFIABLE
289-sat-11x9.cnf,CDCL,0.004846,11.00,132687,296533,2339868,SATISFIABLE
289-sat-12x14.cnf,DPLL,100.057,15.00,383,384,8880,INDETERMINATE
289-sat-12x14.cnf,CL,99.9131,58.00,2441,3116,41820,INDETERMINATE
289-sat-12x14.cnf,RST,0.052026,12.00,31369,53896,620055,SATISFIABLE
289-sat-12x14.cnf,2WL,100.002,15.00,387,388,8960,INDETERMINATE
289-sat-12x14.cnf,VSIDS,99.9925,15.00,390,390,9816,INDETERMINATE
289-sat-12x14.cnf,NOTCL,0.077811,11.00,19355,32399,394045,SATISFIABLE
289-sat-12x14.cnf,NOTRST,99.8735,89.00,32987,37752,781093,INDETERMINATE
289-sat-12x14.cnf,NOT2WL,0.013379,12.00,61589,150460,1488228,SATISFIABLE
289-sat-12x14.cnf,NOTVSIDS,99.8992,66.00,31257,36000,1359805,INDETERMINATE
289-sat-12x14.cnf,CDCL,0.011605,11.00,71004,173460,1715726,SATISFIABLE
289-sat-12x15.cnf,DPLL,99.9796,15.00,378,379,9519,INDETERMINATE
289-sat-12x15.cnf,CL,99.9769,58.00,2119,2781,37543,INDETERMINATE
289-sat-12x15.cnf,RST,1.746,12.00,9262,11794,135367,SATISFIABLE
289-sat-12x15.cnf,2WL,99.9876,14.00,263,264,6578,INDETERMINATE
289-sat-12x15.cnf,VSIDS,99.926,14.00,268,269,7487,INDETERMINATE
289-sat-12x15.cnf,NOTCL,0.136301,12.00,12406,21680,265970,SATISFIABLE
289-sat-12x15.cnf,NOTRST,99.8164,71.00,13093,15047,278482,INDETERMINATE
289-sat-12x15.cnf,NOT2WL,0.034059,12.00,18028,60836,519833,SATISFIABLE
289-sat-12x15.cnf,NOTVSIDS,0.047032,11.00,42864,163442,1313000,SATISFIABLE
289-sat-12x15.cnf,CDCL,0.015369,11.00,39951,134817,1151994,SATISFIABLE
289-sat-14x8.cnf,DPLL,99.7615,13.00,268,269,3488,INDETERMINATE
289-sat-14x8.cnf,CL,99.7869,23.00,2114,2415,65891,INDETERMINATE
289-sat-14x8.cnf,RST,0.0213,11.00,12582,27793,201033,SATISFIABLE
289-sat-14x8.cnf,2WL,99.9072,13.00,272,273,3543,INDETERMINATE
289-sat-14x8.cnf,VSIDS,99.9978,13.00,282,283,4008,INDETERMINATE
289-sat-14x8.cnf,NOTCL,0.009428,11.00,29487,61731,460967,SATISFIABLE
289-sat-14x8.cnf,NOTRST,99.9045,50.00,31941,36156,848503,INDETERMINATE
289-sat-14x8.cnf,NOT2WL,0.019298,11.00,29744,65084,490206,SATISFIABLE
289-sat-14x8.cnf,NOTVSIDS,2.82045,14.00,36562,52112,691408,SATISFIABLE
289-sat-14x8.cnf,CDCL,0.011305,11.00,50774,111101,836798,SATISFIABLE
289-sat-4x35.cnf,DPLL,0.007669,11.00,0,28948,73021,SATISFIABLE
289-sat-4x35.cnf,CL,0.011519,11.00,0,19273,48615,SATISFIABLE
289-sat-4x35.cnf,RST,0.008167,11.00,0,27183,68569,SATISFIABLE
289-sat-4x35.cnf,2WL,0.006286,11.00,0,35317,89087,SATISFIABLE
289-sat-4x35.cnf,VSIDS,0.008054,11.00,0,27564,69531,SATISFIABLE
289-sat-4x35.cnf,NOTCL,0.005953,11.00,0,37292,94070,SATISFIABLE
289-sat-4x35.cnf,NOTRST,0.010169,11.00,0,21831,55069,SATISFIABLE
289-sat-4x35.cnf,NOT2WL,0.011086,11.00,0,20025,50514,SATISFIABLE
